Datetime,Open,High,Low,Close,Volume,Adj Close
2024-07-21 00:00:00+00:00,29.1,29.18,29.09,29.18,43742,117
2024-07-21 00:01:00+00:00,29.18,29.19,29.12,29.12,61740,156
2024-07-21 00:02:00+00:00,29.12,29.13,29.12,29.12,10089,34
2024-07-21 00:03:00+00:00,29.11,29.11,29.06,29.06,32497,63
2024-07-21 00:04:00+00:00,29.06,29.1,29.06,29.08,23442,53
2024-07-21 00:05:00+00:00,29.08,29.11,29.07,29.11,69195,85
2024-07-21 00:06:00+00:00,29.1,29.1,29.06,29.06,204045,134
2024-07-21 00:07:00+00:00,29.06,29.07,29.05,29.05,86666,57
2024-07-21 00:08:00+00:00,29.05,29.13,29.05,29.13,67541,68
2024-07-21 00:09:00+00:00,29.14,29.16,29.13,29.15,5068,28
2024-07-21 00:10:00+00:00,29.15,29.15,29.08,29.09,63351,122
2024-07-21 00:11:00+00:00,29.09,29.14,29.09,29.13,9252,41
2024-07-21 00:12:00+00:00,29.14,29.15,29.14,29.15,5916,26
2024-07-21 00:13:00+00:00,29.15,29.16,29.13,29.16,22984,55
2024-07-21 00:14:00+00:00,29.15,29.18,29.15,29.17,34530,43
2024-07-21 00:15:00+00:00,29.18,29.22,29.17,29.17,206683,311
2024-07-21 00:16:00+00:00,29.19,29.21,29.18,29.19,17858,58
2024-07-21 00:17:00+00:00,29.19,29.21,29.15,29.15,32267,75
2024-07-21 00:18:00+00:00,29.15,29.18,29.13,29.18,32537,58
2024-07-21 00:19:00+00:00,29.17,29.19,29.16,29.16,43701,46
2024-07-21 00:20:00+00:00,29.17,29.18,29.16,29.16,22570,50
2024-07-21 00:21:00+00:00,29.17,29.17,29.15,29.17,18968,38
2024-07-21 00:22:00+00:00,29.17,29.17,29.16,29.17,7550,22
2024-07-21 00:23:00+00:00,29.16,29.18,29.15,29.15,15314,23
2024-07-21 00:24:00+00:00,29.15,29.16,29.14,29.14,6438,25
2024-07-21 00:25:00+00:00,29.14,29.15,29.14,29.14,11125,31
2024-07-21 00:26:00+00:00,29.14,29.16,29.14,29.16,7230,33
2024-07-21 00:27:00+00:00,29.17,29.17,29.14,29.14,40870,63
2024-07-21 00:28:00+00:00,29.13,29.13,29.13,29.13,5021,13
2024-07-21 00:29:00+00:00,29.13,29.14,29.13,29.13,554,5
2024-07-21 00:30:00+00:00,29.13,29.15,29.11,29.11,31964,57
2024-07-21 00:31:00+00:00,29.1,29.1,29.09,29.1,20579,38
2024-07-21 00:32:00+00:00,29.1,29.1,29.05,29.09,91514,72
